Id,Title,Keywords,Field_Auto,Cluster,Link
129,Impact of Spaceflight and Artificial Gravity on the Mouse Retina: Biochemical and Proteomic Analysis.,"['microgravity condition µg', 'affect blood retinal', 'changes regulated protein', 'vascular endothelial cells', 'habitat cage unit', 'degeneration keywords spaceflight', 'impairment visual acuity', 'cell death', 'old male c57bl', 'animals']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6165321/
130,Simulated microgravity induces regionally distinct neurovascular and structural remodeling of skeletal muscle and cutaneous arteries in the rat,"['hindlimb small arteries', 'hypothesis hindlimb unloading', 'artery saphenous artery', 'skeletal muscle skin', 'flight keywords microgravity', 'contrasting structural functional', 'methods male wistar', 'methods']",Animal Physiology & Spaceflight Stress,3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7339929/
131,Spaceflight decelerates the epigenetic clock orchestrated with a global alteration in DNA methylome and transcriptome in the mouse retina,"['spaceflight dna methylome', 'eye related disorders', 'biological pathways involved', 'astronauts keywords spaceflight', 'animal enclosure', 'based control', 'macular degeneration', 'purpose']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8220224/
132,Development of otolith receptors in Japanese quail.,"['terminals e8 calyceal', 'hair cells developed', 'terminal boutons keywords', 'nerve innervation development', 'maculae small fibers', 'calyx afferents innervating', 'morphological development otolith', 'cell density stereocilia', 'keywords vestibular motion']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910419/
133,Spatial and temporal characteristics of vestibular convergence,"['semicircular canals otolith', 'convergent otolith signals', 'motion stimuli characterize', 'central neurons brainstem', 'compare findings similar', 'previous studies pigeon', 'simple linear combination', 'behaviors', 'gain phase ranges']",C. Elegans & Muscle Studies,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3166430/
134,Bone remodeling is regulated by inner ear vestibular signals,"['using col2a1 cre', 'osteoblasts affecting bone', 'regulates opg expression', 'signaling osteoprotegerin otosclerosis', 'mutant mice showed', 'ligand rankl receptor', 'ossicles otic capsule', 'balance behavior tests', 'data support', 'ca ca']",Bone & Marrow Loss in Mice,5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6615562/
135,Simulated Microgravity Enhances Oligodendrocyte Mitochondrial Function and Lipid Metabolism,"['microgravity lipid metabolism', 'cells proteins fats', 'lipids dipalmitoyl', 'understanding brain health', 'impacts energy', 'sources mammalian cells', 'keywords oligodendrocytes', 'unveil 1g', 'et al']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7324008/
136,Human Neural Stem Cells Flown into Space Proliferate and Generate Young Neurons,"['derived neurons showed', 'nscs displayed higher', 'flight microgravity', 'keywords neural stem', 'oxygen consumption glycolysis', 'minimize health risks', 'electrophysiological recordings', 'stem cells pluripotency', 'small capacitance high', 'spaceflight missions keywords']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8412175/
137,Delayed Maturation of Oligodendrocyte Progenitors by Microgravity: Implications for Multiple Sclerosis and Space Flight,[],Unclassified,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10607959/
138,Space Microgravity Alters Neural Stem Cell Division: Implications for Brain Cancer Research on Earth and in Space,"['research brain microgravity', 'functions neural stem', 'nscs following spc', 'findings provide new', 'potential carcinogenic susceptibility', 'understanding mechanisms leading', 'cell division mdcd', 'stem cells', 'health disease']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9699585/
139,Oligodendrocyte Progenitors Display Enhanced Proliferation and Autophagy after Space Flight,"['increase autophagic cell', 'endoplasmic reticulum', 'proteomic profile', 'roles importance proteins', 'shock protein 90', 'olps spc olps', 'time lapse microscopy', 'icp visual impairment', 'viip space missions', 'keywords space flight']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9953055/
140,Metabolomics profile of the secretome of space-flown oligodendrocytes.,"['profile oligodendrocyte progenitors', 'energy metabolism olps', 'metabolomics approach allowed', 'increased mitochondrial respiration', 'mars keywords microgravity', 'space space flight', 'previous work using', 'relevant information']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10528075/
141,Metabolomic profiling of the secretome from human neural stem cells flown into space.,"['formation polyamine spermidine', 'nscs showed increased', 'microgravity neural stem', 'increase energy demands', 'space flight international', 'culture medium', 'stem cells', 'analyzed']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10813126/
142,"Strategies, research priorities, and challenges for the exploration of space beyond low-Earth orbit","['key neurobehavioral challenges', 'use integrative omics', 'understanding neural representation', 'gravity space roadmap', 'fostering integrative cross', 'human behavior', 'work provides', 'finally highlight space', 'earth orbit distant', 'science goes']",Microbiome & Life in Space,6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10390562/
143,Spaceflight Induces Specific Alterations in the Proteomes of Arabidopsis,"['responses spaceflight responses', 'arabidopsis arabidopsis thaliana', 'scale proteomics procedures', 'multiple omics data', 'proteins differentially regulated', 'cell wall remodeling', 'analyzed using', 'key words']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4290804/
144,The effect of spaceflight on the gravity-sensing auxin gradient of roots: GFP reporter gene microscopy on orbit.,"['cytokinin distribution root', 'ptaa1 taa1 gfp', 'fluorescent protein gfp', 'spaceflight ground controls', 'plant architectures long', 'mediated gravity sensing', 'gene expression', 'live light microscopy', 'lines arabidopsis thaliana']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5515520/
145,Skewing in Arabidopsis roots involves disparate environmental signaling pathways.,"['microarray arabidopsis thaliana', 'behavior genes involved', 'comparing gene expression', 'cell wall organization', 'potential role candidate', 'future work', 'version article doi', 'authorized users keywords', 'supplementary material']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5286820/
146,"Data for characterization of SALK_084889, a T-DNA insertion line of Arabidopsis thaliana","['dreb2a lox1 salk_084889', 'realtime pcr qpcr', 'lox1 analyzed using', 'dna insertion sites', 'conditions affected roots', 'element binding protein', 'keywords arabidopsis', 'untranslated', 'analyzed using', 'article report identification']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5470433/
147,Genetic dissection of the Arabidopsis spaceflight transcriptome: Are some responses dispensable for the physiological adaptation of plants to spaceflight?,"['spaceflight physiological adaptation', 'arabidopsis ecotypes col', 'genotypic responses suggest', 'genetic manipulation', 'substantially impact metabolic', 'germinated left dark', 'phyd mutant col', 'responses actually required', 'presented designed ask']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5491145/
148,Phenotypic characterization of an Arabidopsis T- DNA insertion line SALK_063500,"['arabidopsis line salk_063500', 'at1g05290 gene homozygous', 'arabidopsis thaliana arabidopsis', 'dna insertion', 'identification homozygous lethal', 'analyses revealed aberrant', 'keywords arabidopsis dna', 'allele expression levels', 'article report identification', 'original published']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5996828/
149,Utilization of single‚Äêimage normalized difference vegetation index (SI‚ÄêNDVI) for early plant stress detection,"['assess plant responses', 'using spectral reflectance', 'stress visible stress', 'arabidopsis thaliana', 'index si ndvi', 'keywords early stress', 'analyzed using', 'sativa', 'methods']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6201722/
150,Comparing RNA-Seq and microarray gene expression data in two zones of the Arabidopsis root apex relevant to spaceflight.,"['differential gene expression', 'microarrays provided novel', 'meristematic zone', 'total 4180 genes', 'relevant spaceflight methods', 'samples limited feasibility', 'provided novel information', 'thaliana columbia ecotype', 'using tiny', 'methods']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240453/
151,Spaceflight-induced alternative splicing during seedling development in Arabidopsis thaliana.,"['spaceflight induced transcriptome', 'spaceflight ground controls', 'detect alternative splicing', 'uncharacterized analyzed', 'sequence data', 'ecotypes seedling stages', 'unstudied', 'analyzed']",Microbiome & Life in Space,6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6447593/
152,The Plant Health Monitoring System of the EDEN ISS Space Greenhouse in Antarctica during the 2018 experiment phase,"['075 kg paper', 'antarctica facility project', 'plant cultivation', 'food quality', 'enable multidisciplinary research', 'bio regenerative life', '20th november', 'iss greenhouse 2018', '1000', 'purpose']",Microbiome & Life in Space,6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7264257/
153,Root skewing-associated genes impact the spaceflight response of Arabidopsis thaliana.,"['mutants showed different', 'adaptation keywords spaceflight', 'cell wall remodeling', 'sku5 plants spaceflight', 'behavior gene', 'highly differentially expressed', 'related protein', 'physiology currently based', 'designed elucidate contribution']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7064724/
154,Articular cartilage and sternal fibrocartilage respond differently to extended microgravity.,"['microgravity dictates tissue', 'cartilage matrix proteins', 'data suggest degradative', 'flight controls', 'terrestrial loading unloading', 'samples gene expression', 'structure largely unknown', 'bion m1', 'minimally loaded sternal', 'exposed 30']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6379395/
155,Host-microbe interactions in microgravity: assessment and implications.,"['microbiomes associated plants', 'maintain healthy homeostasis', 'microbe interactions genetic', 'stresses biological life', 'impact unique environmental', 'immune responses', 'stressor microgravity', 'keywords host microbe', 'associated microbes', 'characteristics']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4187166/
156,Environmental cues and symbiont microbe-associated molecular patterns function in concert to drive the daily remodelling of the crypt-cell brush border of the Euprymna scolopes light organ,[],Unclassified,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5219934/
157,Symbiotic organs shaped by distinct modes of genome evolution in cephalopods.,"['specialized symbiotic organs', 'evolution cephalopod complexity', 'reveal genomic signatures', 'monoculture vibrio fischeri', 'host microbe', 'scolopes octopus bimaculoides', 'findings suggest', 'reproductive organ']",Bone & Marrow Loss in Mice,5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6386654/
158,Modeled microgravity alters lipopolysaccharide and outer membrane vesicle production of the beneficial symbiont Vibrio fischeri,"['microbes altered microgravity', 'host health', 'membrane disrupting agents', 'lipopolysaccharides lps', 'developmental apoptosis', 'vibrio fischeri', 'subject terms microbiology', 'animals', 'fischeri defective']",Animal Physiology & Spaceflight Stress,3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7940393/
159,Emergence of novel cephalopod gene regulation and expression through large-scale genome reorganization,"['organization cephalopod genomes', 'scolopes reveal unique', 'functional genomics model', 'enables complex behaviors', 'lineage specific', 'microsyntenies novel microsyntenies', 'genetics molecular evolution', 'behaviors', 'euprymna scolopes', 'animals']",C. Elegans & Muscle Studies,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9023564/
160,Modeled microgravity alters apoptotic gene expression and caspase activity in the squid-vibrio symbiosis,"['microgravity alters expression', 'pharmacologically inhibited', 'gram negative bacterium', 'spaceflight supplementary information', '02614 keywords symbiosis', 'cell death induced', '10 1186 s12866', 'euprymna scolopes gram', 'supplementary material available']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9389742/
161,In vitro generation of mechanically functional cartilage grafts based on adult human stem cells and 3D-woven poly(epsilon-caprolactone) scaffolds,"['functional cartilage constructs', 'human mesenchymal stem', 'bioreactor medium composition', 'poly caprolactone', 'collagen ii mrna', 'rounded cells hyaline', 'mechanical properties ii', 'ii demonstrate hmscs', 'stem cell', 'objectives']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2824534/
162,Chondrogenesis and mineralization during in vitro culture of human mesenchymal stem cells on three-dimensional woven scaffolds,"['limited osteogenesis long', 'day 45 glycosaminoglycan', 'biomechanics gene expression', 'mesenchymal stem cells', 'hmscs 3d poly', 'caprolactone pcl scaffolds', 'interactively influence', 'findings', 'analyzed']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2991213/
163,Microbiome metadata standards: Report of the National Microbiome Data Collaborative's workshop and follow-on activities.,[],Unclassified,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8269219/
164,Spaceflight alters host-gut microbiota interactions,"['gut microbiome interface', 'microbial communities microbial', 'terms microbial communities', 'metabolism extracellular matrix', 'bile acid metabolism', 'critically influence human', 'spaceflight feasibility subject', 'human health', 'dysosmobacter welbionis functional']",Microbiome & Life in Space,6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11362537/
165,Asparagine biosynthesis as a mechanism of increased host lethality induced by Serratia marcescens in simulated microgravity environments,"['importance asparagine utilization', 'gram negative bacterium', 'molecular mechanisms underlie', 'drosophila melanogaster', 'bacterial growth rate', 'increase mortality rates', 'melanogaster serratia marcescens', 'mitigation strategy keywords']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9111996/
166,Comparative genomic analysis of Cohnella hashimotonis sp. nov. isolated from the International Space Station.,"['strain f6_2s_p_1 rhizosphaerae', 'uncharacterized cohnella', 'described cohnella species', 'type strains', '16s gyrb matches', 'positive catalase negative', 'cohnella propose cohnella', 'pangenome', 'april 2018']",ISS Microbial Genomics,7,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10308117/
167,Characterization of metagenome-assembled genomes from the International Space Station,"['metagenomes phylogenetic analyses', 'characterized amr genes', 'mags 46 mags', 'understand variation related', 'download video file', 'corresponding type strains', 'genomes enable researchers', '21 iss', '01545 keywords']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10233975/
168,Biocontrol in built environments to reduce pathogen exposure and infection risk.,"['understand microbial ecology', 'microbiome built environment', 'studies catalogued microbial', 'creating infection risk', 'interventions include using', 'research suggests potential', 'built environment amr', 'antibiotic resistance', 'pathogens keywords indoor', 'materials']",Microbiome & Life in Space,6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10848226/
169,Extracellular nucleotides elicit cytosolic free calcium oscillations in Arabidopsis.,"['extracellular purine nucleotides', 'trigger ionotropic receptor', 'accumulation arabidopsis thaliana', 'stress responses', 'free calcium reporter', 'production extracellular reactive', 'keywords abscisic acid', 'regulating plant development', 'include wounding osmotic', 'protoplasts expressing']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3329368/
170,"Calcium, mechanical signaling, and tip growth","['regulated phytohormone signaling', 'crw1 encoding ethylene', 'mechanosensing control plant', 'box protein osebf1', 'phenotype oscrw1 ein3', 'signaling required sufficient', 'factor 82 oserf82', 'root water', 'previously unanticipated interplay']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/
171,Gravitropism and mechanical signaling in plants.,"['regulated phytohormone signaling', 'crw1 encoding ethylene', 'mechanosensing control plant', 'box protein osebf1', 'phenotype oscrw1 ein3', 'signaling required sufficient', 'factor 82 oserf82', 'root water', 'previously unanticipated interplay']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/
172,"Salt stress-induced Ca2+ waves are associated with rapid, long-distance root-to-shoot signaling in plants.","['developmental physiological responses', 'stress arabidopsis thaliana', 'plants possess rapid', 'plant stress tolerance', 'distribution water nutrients', 'ion channel tpc1', 'means plants exquisitely', 'transmit information', 'case local', 'redistribution host']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4035928/
173,Gravitropic signaling in plants,"['regulated phytohormone signaling', 'crw1 encoding ethylene', 'mechanosensing control plant', 'box protein osebf1', 'phenotype oscrw1 ein3', 'signaling required sufficient', 'factor 82 oserf82', 'root water', 'previously unanticipated interplay']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/
174,Wortmannin-induced vacuole fusion enhances amyloplast dynamics in Arabidopsis zigzag1 hypocotyls.,"['hypocotyl endodermal cells', 'vacuole fusion using', 'vacuoles amyloplasts graviperception', 'interplay vacuole actin', 'wortmannin induced', 'allele vti11 encodes', 'μm length graviperceptive']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5181587/
175,A ROS-assisted calcium wave dependent on AtRBOHD and TPC1 propagates the systemic response to salt stress in Arabidopsis roots,"['plants exhibit rapid', 'signaling systems allow', 'tpc1 channel arabidopsis', 'calcium induced calcium', 'arabidopsis arabidopsis thaliana', 'oxygen species ros', 'model analyze behavior', 'systemic spread', 'largely undefined use']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4936552/
176,"ROS, calcium and electric signals: Key mediators of rapid systemic signaling in plants","['signaling systemic stress', 'saa light stress', 'rbohd mutant restores', 'arabidopsis arabidopsis thaliana', 'phloem xylem parenchyma', 'demonstrate rbohd rbohf', 'oxygen species', 'findings highlight key', 'local treatment', 'studies identified']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7610290/
177,Real-time In Vivo Recording of Arabidopsis Calcium Signals During Insect Feeding Using a Fluorescent Biosensor,"['plants expressing gfp', 'plant defense response', 'thaliana allows rapid', 'hemipterans aphids pierce', 'additional insect', 'biosensors revolutionizing', 'issue 126', 'unclear protocol', 'animals']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5614317/
178,"Orchestrating rapid long-distance signaling in plants with Ca2+ , ROS, and electrical signals",[],Unclassified,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5677518/
179,"Glutamate triggers long-distance, calcium-based plant defense signaling.","['defense signaling events', 'plant defense disharmoniously', 'previously constructed hairpin', 'evolved plants defend', 'plants characterized lack', 'like glr3 trigger', 'nervous systems', 'disharmoniously exhibits attenuation', 'offer new insights', 'animals']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11850895/
180,Test of Arabidopsis Space Transcriptome: A discovery environment to explore multiple plant biology spaceflight experiments.,"['spaceflight related omics', 'understand plant biology', 'easy use gene', 'visualization environments designed', 'changes mitochondrial function', 'keywords arabidopsis thaliana', 'hold great promise', 'datasets associated metadata', 'plant growth experiments']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7076552/
181,Tonoplast-localized Ca2+ pumps regulate Ca2+ signals during pattern-triggered immunity in Arabidopsis thaliana.,"['regulation vacuolar ca', '11 phenotypes catalytically', 'specific regulatory elements', 'immune responses', 'bacterial elicitor peptide', 'type plants', 'defining molecular identities', 'specific information', 'expel']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7414185/
182,The fast and the furious: Rapid long-range signaling in plants.,"['antiherbivore defenses plant', 'messengers range rnas', 'responses occur seconds', 'channels pore channel', 'allowing rapid deployment', 'uncover molecular machineries', 'oxygen species producing', 'gene expression', 'communications network elements', 'redistribution chemical']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8133610/
183,Rad-Bio-App: A discovery environment for biologists to explore spaceflight-related radiation exposures,"['experiments archived nasa', 'spaceflight subject terms', 'enable radiation biologists', 'context radiation exposure', 'simultaneously exposes biology', 'bio app web', 'microbiology molecular biology', 'bio app', 'subject terms databases']",Animal Physiology & Spaceflight Stress,3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8113475/
184,The vacuolar H+/Ca transporter CAX1 participates in submergence and anoxia stress responses.,"['approaches identified cax1', 'anoxia tolerance anoxia', 'regulate ca homeostasis', 'submergence tolerance crops', 'oxygen species production', 'stress work suggests', 'oryza sativa']",Animal Physiology & Spaceflight Stress,3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9706465/
185,Meta-analysis of the space flight and microgravity response of the Arabidopsis plant transcriptome,"['spaceflight presents multifaceted', 'experimental design plant', 'arabidopsis thaliana', 'subject terms plant', 'data repository data', 'aeronautics space administration', 'plant sciences genetic', 'selection studies']",Microbiome & Life in Space,6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10027818/
186,"Low-dose, ionizing radiation and age-related changes in skeletal microarchitecture","['doses gamma radiation', 'transient microarchitectural changes', 'cgy caused transient', 'skeletal aging mice', '10 wk old', 'profoundly affect aged', '10 100 cgy', 'bone cell differentiation', 'loss high']",Bone & Marrow Loss in Mice,5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3337602/
187,Ionizing Radiation Stimulates Expression of Pro-Osteoclastogenic Genes in Marrow and Skeletal Tissue,"['marker bone resorption', 'stimulate osteoclastogenesis', 'microarchitecture following exposure', 'exposure fold changes', 'transcription factor nfe2l2', 'necrosis factor alpha', 'single fraction radiotherapy', 'duration interplanetary missions', 'c57bl 6j mice']",Bone & Marrow Loss in Mice,5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4490751/
188,Preservation of Multiple Mammalian Tissues to Maximize Science Return from Ground Based and Spaceflight Experiments,"['impacts tissue harvest', 'spaceflight studies objective', 'enzyme activities', 'c57bl 6j mice', 'quality assessed', 'analyzed', 'objective']",Bone & Marrow Loss in Mice,5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5132293/
189,Hindlimb Unloading: Rodent Analog for Microgravity,"['vascular remodeling rats', 'tfs identified', 'keywords single cell', 'stem cells', 'supplementary information', '1007 s00018', '05572 keywords single', 'methods']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11747068/
190,Redox Signaling and Its Impact on Skeletal and Vascular Responses to Spaceflight,"['understanding microgravity radiation', 'spaceflight bone vasculature', 'oxidative stress', 'function keywords spaceflight', 'radiation impacts mammalian', 'stress microgravity hindlimb', 'musculoskeletal vascular', 'associated vasculature level', 'purpose review current', 'purpose']",Animal Physiology & Spaceflight Stress,3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666834/
191,Influence of social isolation during prolonged simulated weightlessness by hindlimb unloading,"['singly housed', 'immune responses', 'behavior physiology', 'model bone loss', 'social isolation increased', 'keywords hindlimb unloading', 'original design conducted', 'performed']",Bone & Marrow Loss in Mice,5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6753329/
192,Validation of a new Rodent experimental System to investigate consequences of Long Duration Space Habitation,"['37d microgravity mice', 'mice appeared healthy', 'spaceflight capabilities developed', 'remaining tissues frozen', 'animal models', 'enzyme activity levels', 'exploring health', 'perform experiments', 'subject terms microarray']",Animal Physiology & Spaceflight Stress,3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012842/
193,Skeletal tissue regulation by catalase over-expression in mitochondria,"['hypothesis hindlimb unloading', 'prevent muscle atrophy', 'proteins mfn1 mfn2', 'oxidative muscle', 'inducing pgc 1α', 'opa1 ii activation', 'mitochondrial alterations used', 'gastrocnemius', 'coa carboxylase']",Animal Physiology & Spaceflight Stress,3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4405755/
194,Overexpression of catalase in mitochondria mitigates changes in hippocampal cytokine expression following simulated microgravity and isolation.,"['microgravity induced changes', 'physiology signaling organs', 'environment spaceflight', 'hindlimb unloading 30', 'social paired housing', 'mice underwent', 'isolation', 'findings suggest key', 'earth alter']",Bone & Marrow Loss in Mice,5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8260663/
195,An extensive allelic series of Drosophila kae1 mutants reveals diverse and tissue-specific requirements for t6A biogenesis,"['kae1 threonylcarbamoyladenosine t6a', 'kae1 kae1 hemizygous', 'kae1 mutants exhibit', 'diverse biological roles', 'exquisitely sensitive loss', 'disease keywords drosophila', 'body size', 'phase studies', 'strength detect substantial']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4647464/
196,Novel Organelles with Elements of Bacterial and Eukaryotic Secretion Systems Weaponize Parasites of Drosophila,[],Unclassified,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5659752/
197,A combined computational strategy of sequence and structural analysis predicts the existence of a functional eicosanoid pathway in Drosophila melanogaster.,"['putative fly homologs', 'synthesize eicosanoid eicosanoid', 'lipoxygenase enzymes report', 'regulate biological functions', 'biology simple', 'human development health', 'currently held view', 'identified use systematic']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6372189/
198,Immune suppressive extracellular vesicle proteins of Leptopilina heterotoma are encoded in the wasp genome.,"['endoparasitoid wasp drosophila', '90 msev proteins', 'related proteins proteins', 'nature structures sequences', 'keywords extracellular vesicle', '300 nm wide', 'present body']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6945029/
199,Spaceflight and simulated microgravity conditions increase virulence of Serratia marcescens in the Drosophila melanogaster infection model.,"['immune disorders spaceflight', 'flown bacteria characterization', 'simulated microgravity conditions', 'drosophila melanogaster', 'did persist bacterial', 'bacterial cultures', 'serratia marcescens', 'pathogens infect', 'characterized subject terms']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000411/
200,A parasitoid wasp of Drosophila employs preemptive and reactive strategies to deplete its host's blood cells,"['endocytic phagolysosomal compartments', 'leptopilina heterotoma parasitize', 'encapsulate wasp egg', 'proteins perform immune', 'lamellocytes lamellocytes', 'known functions hematopoiesis', 'psc directs differentiation', 'maintains hematopoietic immune', 'help protect biodiversity']",Animal Physiology & Spaceflight Stress,3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8191917/
201,In Silico Analysis of a Drosophila Parasitoid Venom Peptide Reveals Prevalence of the Cation‚ÄìPolar‚ÄìCation Clip Motif in Knottin Proteins,"['arthropod knottin proteins', 'wasps leptopilina heterotoma', 'extracellular vesicle ev', 'species fruit flies', 'lhknot like lhknot', 'proteins share high', 'clip cpc clip', 'design keywords']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9865768/
202,Drosophila parasitoids go to space: Unexpected effects of spaceflight on hosts and their parasitoids.,"['open new tab', 'new tab', 'open new', 'new', 'open', 'tab']",Genomics & Omics Data (GeneLab),4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10797188/
203,Drosophila parasitoids go to space: Unexpected effects of spaceflight on hosts and their parasitoids,"['open new tab', 'new tab', 'open new', 'new', 'open', 'tab']",Genomics & Omics Data (GeneLab),4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10797188/
204,Simultaneous exposure of cultured human lymphoblastic cells to simulated microgravity and radiation increases chromosome aberrations,"['microgravity space radiation', 'chromosome aberrations ca', 'potential risk health', 'major environmental stresses', 'living organisms respond', 'human health', 'little information available', 'lymphoblastic tk6 cells', 'obtaining data molecular']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7555395/
205,Genes required for survival in microgravity revealed by genome-wide yeast deletion collections cultured during spaceflight.,"['molecularly barcoded yeast', 'microgravity model organism', 'negatively affect cell', 'obtained treatments queried', 'provide quantitative assessment', 'deletion strains carrying', 'strains', 'redistribution musculoskeletal']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4309212/
